IMAGE,MEDICINE_NAME,GENERIC_NAME,split,image_path,prescription_id
21.png,Aceta,Paracetamol,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/21.png,P1021
22.png,Aceta,Paracetamol,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/22.png,P1022
23.png,Aceta,Paracetamol,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/23.png,P1023
24.png,Aceta,Paracetamol,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/24.png,P1024
25.png,Aceta,Paracetamol,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/25.png,P1025
26.png,Aceta,Paracetamol,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/26.png,P1026
27.png,Aceta,Paracetamol,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/27.png,P1027
28.png,Aceta,Paracetamol,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/28.png,P1028
29.png,Aceta,Paracetamol,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/29.png,P1029
30.png,Aceta,Paracetamol,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/30.png,P1030
31.png,Aceta,Paracetamol,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/31.png,P1031
32.png,Aceta,Paracetamol,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/32.png,P1032
33.png,Aceta,Paracetamol,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/33.png,P1033
34.png,Aceta,Paracetamol,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/34.png,P1034
35.png,Aceta,Paracetamol,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/35.png,P1035
36.png,Aceta,Paracetamol,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/36.png,P1036
37.png,Aceta,Paracetamol,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/37.png,P1037
38.png,Aceta,Paracetamol,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/38.png,P1038
39.png,Aceta,Paracetamol,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/39.png,P1039
40.png,Ace,Paracetamol,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/40.png,P1040
41.png,Ace,Paracetamol,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/41.png,P1041
42.png,Ace,Paracetamol,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/42.png,P1042
43.png,Ace,Paracetamol,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/43.png,P1043
44.png,Ace,Paracetamol,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/44.png,P1044
45.png,Ace,Paracetamol,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/45.png,P1045
46.png,Ace,Paracetamol,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/46.png,P1046
47.png,Ace,Paracetamol,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/47.png,P1047
48.png,Ace,Paracetamol,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/48.png,P1048
49.png,Ace,Paracetamol,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/49.png,P1049
50.png,Ace,Paracetamol,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/50.png,P1050
51.png,Ace,Paracetamol,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/51.png,P1051
52.png,Ace,Paracetamol,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/52.png,P1052
53.png,Ace,Paracetamol,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/53.png,P1053
54.png,Ace,Paracetamol,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/54.png,P1054
55.png,Ace,Paracetamol,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/55.png,P1055
56.png,Ace,Paracetamol,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/56.png,P1056
57.png,Ace,Paracetamol,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/57.png,P1057
58.png,Ace,Paracetamol,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/58.png,P1058
59.png,Ace,Paracetamol,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/59.png,P1059
60.png,Ace,Paracetamol,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/60.png,P1060
61.png,Ace,Paracetamol,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/61.png,P1061
62.png,Ace,Paracetamol,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/62.png,P1062
63.png,Ace,Paracetamol,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/63.png,P1063
64.png,Ace,Paracetamol,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/64.png,P1064
65.png,Ace,Paracetamol,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/65.png,P1065
66.png,Ace,Paracetamol,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/66.png,P1066
67.png,Ace,Paracetamol,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/67.png,P1067
68.png,Ace,Paracetamol,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/68.png,P1068
69.png,Ace,Paracetamol,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/69.png,P1069
70.png,Ace,Paracetamol,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/70.png,P1070
71.png,Ace,Paracetamol,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/71.png,P1071
72.png,Ace,Paracetamol,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/72.png,P1072
73.png,Ace,Paracetamol,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/73.png,P1073
74.png,Ace,Paracetamol,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/74.png,P1074
75.png,Ace,Paracetamol,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/75.png,P1075
76.png,Ace,Paracetamol,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/76.png,P1076
77.png,Ace,Paracetamol,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/77.png,P1077
78.png,Ace,Paracetamol,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/78.png,P1078
79.png,Ace,Paracetamol,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/79.png,P1079
80.png,Alatrol,Cetirizine Hydrochloride,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/80.png,P1080
81.png,Alatrol,Cetirizine Hydrochloride,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/81.png,P1081
82.png,Alatrol,Cetirizine Hydrochloride,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/82.png,P1082
83.png,Alatrol,Cetirizine Hydrochloride,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/83.png,P1083
84.png,Alatrol,Cetirizine Hydrochloride,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/84.png,P1084
85.png,Alatrol,Cetirizine Hydrochloride,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/85.png,P1085
86.png,Alatrol,Cetirizine Hydrochloride,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/86.png,P1086
87.png,Alatrol,Cetirizine Hydrochloride,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/87.png,P1087
88.png,Alatrol,Cetirizine Hydrochloride,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/88.png,P1088
89.png,Alatrol,Cetirizine Hydrochloride,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/89.png,P1089
90.png,Alatrol,Cetirizine Hydrochloride,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/90.png,P1090
91.png,Alatrol,Cetirizine Hydrochloride,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/91.png,P1091
92.png,Alatrol,Cetirizine Hydrochloride,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/92.png,P1092
93.png,Alatrol,Cetirizine Hydrochloride,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/93.png,P1093
94.png,Alatrol,Cetirizine Hydrochloride,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/94.png,P1094
95.png,Alatrol,Cetirizine Hydrochloride,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/95.png,P1095
96.png,Alatrol,Cetirizine Hydrochloride,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/96.png,P1096
97.png,Alatrol,Cetirizine Hydrochloride,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/97.png,P1097
98.png,Alatrol,Cetirizine Hydrochloride,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/98.png,P1098
99.png,Alatrol,Cetirizine Hydrochloride,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/99.png,P1099
100.png,Alatrol,Cetirizine Hydrochloride,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/100.png,P1100
101.png,Alatrol,Cetirizine Hydrochloride,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/101.png,P1101
102.png,Alatrol,Cetirizine Hydrochloride,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/102.png,P1102
103.png,Alatrol,Cetirizine Hydrochloride,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/103.png,P1103
104.png,Alatrol,Cetirizine Hydrochloride,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/104.png,P1104
105.png,Alatrol,Cetirizine Hydrochloride,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/105.png,P1105
106.png,Alatrol,Cetirizine Hydrochloride,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/106.png,P1106
107.png,Alatrol,Cetirizine Hydrochloride,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/107.png,P1107
108.png,Alatrol,Cetirizine Hydrochloride,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/108.png,P1108
109.png,Alatrol,Cetirizine Hydrochloride,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/109.png,P1109
110.png,Alatrol,Cetirizine Hydrochloride,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/110.png,P1110
111.png,Alatrol,Cetirizine Hydrochloride,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/111.png,P1111
112.png,Alatrol,Cetirizine Hydrochloride,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/112.png,P1112
113.png,Alatrol,Cetirizine Hydrochloride,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/113.png,P1113
114.png,Alatrol,Cetirizine Hydrochloride,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/114.png,P1114
115.png,Alatrol,Cetirizine Hydrochloride,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/115.png,P1115
116.png,Alatrol,Cetirizine Hydrochloride,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/116.png,P1116
117.png,Alatrol,Cetirizine Hydrochloride,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/117.png,P1117
118.png,Alatrol,Cetirizine Hydrochloride,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/118.png,P1118
119.png,Alatrol,Cetirizine Hydrochloride,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/119.png,P1119
120.png,Amodis,Metronidazole,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/120.png,P1120
121.png,Amodis,Metronidazole,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/121.png,P1121
122.png,Amodis,Metronidazole,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/122.png,P1122
123.png,Amodis,Metronidazole,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/123.png,P1123
124.png,Amodis,Metronidazole,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/124.png,P1124
125.png,Amodis,Metronidazole,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/125.png,P1125
126.png,Amodis,Metronidazole,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/126.png,P1126
127.png,Amodis,Metronidazole,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/127.png,P1127
128.png,Amodis,Metronidazole,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/128.png,P1128
129.png,Amodis,Metronidazole,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/129.png,P1129
130.png,Amodis,Metronidazole,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/130.png,P1130
131.png,Amodis,Metronidazole,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/131.png,P1131
132.png,Amodis,Metronidazole,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/132.png,P1132
133.png,Amodis,Metronidazole,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/133.png,P1133
134.png,Amodis,Metronidazole,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/134.png,P1134
135.png,Amodis,Metronidazole,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/135.png,P1135
136.png,Amodis,Metronidazole,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/136.png,P1136
137.png,Amodis,Metronidazole,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/137.png,P1137
138.png,Amodis,Metronidazole,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/138.png,P1138
139.png,Amodis,Metronidazole,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/139.png,P1139
140.png,Amodis,Metronidazole,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/140.png,P1140
141.png,Amodis,Metronidazole,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/141.png,P1141
142.png,Amodis,Metronidazole,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/142.png,P1142
143.png,Amodis,Metronidazole,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/143.png,P1143
144.png,Amodis,Metronidazole,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/144.png,P1144
145.png,Amodis,Metronidazole,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/145.png,P1145
146.png,Amodis,Metronidazole,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/146.png,P1146
147.png,Amodis,Metronidazole,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/147.png,P1147
148.png,Amodis,Metronidazole,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/148.png,P1148
149.png,Amodis,Metronidazole,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/149.png,P1149
150.png,Amodis,Metronidazole,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/150.png,P1150
151.png,Amodis,Metronidazole,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/151.png,P1151
152.png,Amodis,Metronidazole,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/152.png,P1152
153.png,Amodis,Metronidazole,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/153.png,P1153
154.png,Amodis,Metronidazole,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/154.png,P1154
155.png,Amodis,Metronidazole,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/155.png,P1155
156.png,Amodis,Metronidazole,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/156.png,P1156
157.png,Amodis,Metronidazole,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/157.png,P1157
158.png,Amodis,Metronidazole,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/158.png,P1158
159.png,Amodis,Metronidazole,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/159.png,P1159
160.png,Atrizin,Cetirizine Hydrochloride,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/160.png,P1160
161.png,Atrizin,Cetirizine Hydrochloride,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/161.png,P1161
162.png,Atrizin,Cetirizine Hydrochloride,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/162.png,P1162
163.png,Atrizin,Cetirizine Hydrochloride,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/163.png,P1163
164.png,Atrizin,Cetirizine Hydrochloride,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/164.png,P1164
165.png,Atrizin,Cetirizine Hydrochloride,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/165.png,P1165
166.png,Atrizin,Cetirizine Hydrochloride,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/166.png,P1166
167.png,Atrizin,Cetirizine Hydrochloride,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/167.png,P1167
168.png,Atrizin,Cetirizine Hydrochloride,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/168.png,P1168
169.png,Atrizin,Cetirizine Hydrochloride,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/169.png,P1169
170.png,Atrizin,Cetirizine Hydrochloride,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/170.png,P1170
171.png,Atrizin,Cetirizine Hydrochloride,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/171.png,P1171
172.png,Atrizin,Cetirizine Hydrochloride,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/172.png,P1172
173.png,Atrizin,Cetirizine Hydrochloride,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/173.png,P1173
174.png,Atrizin,Cetirizine Hydrochloride,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/174.png,P1174
175.png,Atrizin,Cetirizine Hydrochloride,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/175.png,P1175
176.png,Atrizin,Cetirizine Hydrochloride,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/176.png,P1176
177.png,Atrizin,Cetirizine Hydrochloride,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/177.png,P1177
178.png,Atrizin,Cetirizine Hydrochloride,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/178.png,P1178
179.png,Atrizin,Cetirizine Hydrochloride,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/179.png,P1179
180.png,Atrizin,Cetirizine Hydrochloride,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/180.png,P1180
181.png,Atrizin,Cetirizine Hydrochloride,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/181.png,P1181
182.png,Atrizin,Cetirizine Hydrochloride,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/182.png,P1182
183.png,Atrizin,Cetirizine Hydrochloride,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/183.png,P1183
184.png,Atrizin,Cetirizine Hydrochloride,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/184.png,P1184
185.png,Atrizin,Cetirizine Hydrochloride,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/185.png,P1185
186.png,Atrizin,Cetirizine Hydrochloride,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/186.png,P1186
187.png,Atrizin,Cetirizine Hydrochloride,Training,/content/Doctor_Prescriptions/Doctor’s Handwritten Prescription BD dataset/Training/Training_words/187.png,P1187
